0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:59 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:59 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:59 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:29:59 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 6797
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:10 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 6797
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:23 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:33 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 6853
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:34 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:34 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:34 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:34 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:34 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:34 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:34 +0530] "GET /ShopManagement/images/pork.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:30:34 +0530] "GET /ShopManagement/images/turkey.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/home.jsp HTTP/1.1" 200 6853
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Oct/2024:10:33:36 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
